subj date trialcsv
Julian 2022-12-27 salient_movieclip_wajd_Julian_202212_27135243.csv
Julian 2022-12-27 salient_movieclip_wajd_Julian_202212_27135613.csv
Julian 2022-12-27 salient_movieclip_wajd_Julian_202212_27134521.csv
Julian 2022-12-28 salient_movieclip_wajd_Julian_202212_28130224.csv
Julian 2022-12-28 salient_movieclip_wajd_Julian_202212_28130303.csv
Julian 2022-12-28 salient_movieclip_wajd_Julian_202212_28125219.csv
Julian 2023-01-05 salient_movieclip_wajd_Julian_202301_05135633.csv
Julian 2023-01-05 salient_movieclip_wajd_Julian_202301_05140408.csv
Julian 2023-01-05 salient_movieclip_wajd_Julian_202301_05140128.csv
Julian 2023-01-07 salient_movieclip_wajd_Julian_202301_07121105.csv
Julian 2023-01-07 salient_movieclip_wajd_Julian_202301_07121555.csv
Julian 2023-01-07 salient_movieclip_wajd_Julian_202301_07121922.csv
Julian 2023-01-10 salient_movieclip_wajd_Julian_202301_10124738.csv
Julian 2023-01-10 salient_movieclip_wajd_Julian_202301_10125535.csv
Julian 2023-01-11 salient_movieclip_wajd_Julian_202301_11125316.csv
Julian 2023-01-11 salient_movieclip_wajd_Julian_202301_11130724.csv
Julian 2023-01-11 salient_movieclip_wajd_Julian_202301_11125956.csv
Julian 2023-01-12 salient_movieclip_wajd_Julian_202301_12125434.csv
Julian 2023-01-12 salient_movieclip_wajd_Julian_202301_12130608.csv
Julian 2023-01-12 salient_movieclip_wajd_Julian_202301_12130033.csv
Julian 2023-01-13 salient_movieclip_wajd_Julian_202301_13132736.csv
Julian 2023-01-13 salient_movieclip_wajd_Julian_202301_13133415.csv
Julian 2023-01-13 salient_movieclip_wajd_Julian_202301_13132041.csv
Julian 2023-01-16 salient_movieclip_wajd_Julian_202301_16121513.csv
Julian 2023-01-16 salient_movieclip_wajd_Julian_202301_16122547.csv
Julian 2023-01-16 salient_movieclip_wajd_Julian_202301_16122113.csv
Julian 2023-01-17 salient_movieclip_wajd_Julian_202301_17123724.csv
Julian 2023-01-17 salient_movieclip_wajd_Julian_202301_17123129.csv
Julian 2023-01-17 salient_movieclip_wajd_Julian_202301_17124411.csv
Julian 2023-01-19 salient_movieclip_wajd_Julian_202301_19124634.csv
Julian 2023-01-19 salient_movieclip_wajd_Julian_202301_19125929.csv
Julian 2023-01-19 salient_movieclip_wajd_Julian_202301_19125446.csv
Julian 2023-01-20 salient_movieclip_wajd_Julian_202301_20132129.csv
Julian 2023-01-20 salient_movieclip_wajd_Julian_202301_20131714.csv
Julian 2023-01-20 salient_movieclip_wajd_Julian_202301_20131049.csv
Julian 2023-01-23 salient_movieclip_wajd_Julian_202301_23123511.csv
Julian 2023-01-23 salient_movieclip_wajd_Julian_202301_23123926.csv
Julian 2023-01-23 salient_movieclip_wajd_Julian_202301_23124349.csv
Julian 2023-01-24 salient_movieclip_wajd_Julian_202301_24135345.csv
Julian 2023-01-24 salient_movieclip_wajd_Julian_202301_24134449.csv
Julian 2023-01-24 salient_movieclip_wajd_Julian_202301_24134919.csv
Julian 2023-01-26 salient_movieclip_wajd_Julian_202301_26124548.csv
Julian 2023-01-26 salient_movieclip_wajd_Julian_202301_26124053.csv
Julian 2023-01-26 salient_movieclip_wajd_Julian_202301_26125036.csv
Julian 2023-01-27 salient_movieclip_wajd_Julian_202301_27125049.csv
Julian 2023-01-27 salient_movieclip_wajd_Julian_202301_27125129.csv
Julian 2023-01-30 salient_movieclip_wajd_Julian_202301_30123913.csv
Julian 2023-01-30 salient_movieclip_wajd_Julian_202301_30124639.csv
Julian 2023-01-30 salient_movieclip_wajd_Julian_202301_30125345.csv
Julian 2023-01-31 salient_movieclip_wajd_Julian_202301_31132204.csv
Julian 2023-01-31 salient_movieclip_wajd_Julian_202301_31132848.csv
Julian 2023-01-31 salient_movieclip_wajd_Julian_202301_31133308.csv
Julian 2023-02-03 salient_movieclip_wajd_Julian_202302_03125857.csv
Julian 2023-02-03 salient_movieclip_wajd_Julian_202302_03125118.csv
Julian 2023-02-03 salient_movieclip_wajd_Julian_202302_03130426.csv
Julian 2023-02-06 salient_movieclip_wajd_Julian_202302_06130756.csv
Julian 2023-02-06 salient_movieclip_wajd_Julian_202302_06125648.csv
Julian 2023-02-07 salient_movieclip_wajd_Julian_202302_07123948.csv
Julian 2023-02-07 salient_movieclip_wajd_Julian_202302_07122932.csv
Julian 2023-02-07 salient_movieclip_wajd_Julian_202302_07124602.csv
Julian 2023-02-07 salient_movieclip_wajd_Julian_202302_07123054.csv
Julian 2023-02-08 salient_movieclip_wajd_Julian_202302_08124019.csv
Julian 2023-02-08 salient_movieclip_wajd_Julian_202302_08125414.csv
Julian 2023-02-08 salient_movieclip_wajd_Julian_202302_08124830.csv
