npts,vid,t1,t2,xcc,ycc,xycc,subj1,subj2,spec1,spec2
553,tv-talk05,609o,189o,-0.0882483084858114,-0.18775391536595448,-0.13800111192588294,Sub2,HH0310,human,marmo
553,tv-talk05,609o,310o,-0.0603160722133376,-0.0035901528621968097,-0.031953112537767205,Sub2,HH0310,human,marmo
553,tv-talk05,609o,333o,0.44404553795162643,0.034085825092084146,0.23906568152185528,Sub2,HH0301,human,marmo
553,tv-talk05,609o,338o,0.01307964601115971,0.009183495653894098,0.011131570832526905,Sub2,HH0301,human,marmo
553,tv-talk05,609o,410o,-0.24910495727128137,0.4429538178736598,0.0969244303011892,Sub2,Denis,human,human
553,tv-talk05,609o,468o,0.044105968802078094,0.03532314587978707,0.039714557340932585,Sub2,Sub1,human,human
553,tv-talk05,609o,548o,0.2114732050215707,-0.41052555087511067,-0.09952617292676999,Sub2,Sub1,human,human
553,tv-talk05,627o,1038o,-0.19664265661904937,-0.010541045512437244,-0.10359185106574331,Sub2,Ueno,human,macaq
553,tv-talk05,627o,1043o,0.03772393762578338,-0.003654892949221046,0.017034522338281167,Sub2,Ueno,human,macaq
553,tv-talk05,627o,1139o,-0.025929606765641846,0.21688049934130213,0.09547544628783014,Sub2,Ojo,human,macaq
553,tv-talk05,627o,1258o,0.19410086921701153,0.02725728879247097,0.11067907900474125,Sub2,Ojo,human,macaq
553,tv-talk05,627o,126o,0.3381519217948992,0.26986523581914057,0.3040085788070199,Sub2,HH0293,human,marmo
553,tv-talk05,627o,189o,-0.06121981371908677,0.3629685232096264,0.15087435474526983,Sub2,HH0310,human,marmo
553,tv-talk05,627o,310o,-0.13238922244987317,0.419068980353641,0.1433398789518839,Sub2,HH0310,human,marmo
553,tv-talk05,627o,333o,0.15767095643411985,-0.005708629116406073,0.07598116365885689,Sub2,HH0301,human,marmo
553,tv-talk05,627o,338o,0.1575913855710617,-0.1681959282239857,-0.0053022713264620075,Sub2,HH0301,human,marmo
553,tv-talk05,627o,410o,-0.2136455444500819,0.0188075477905357,-0.0974189983297731,Sub2,Denis,human,human
553,tv-talk05,627o,468o,-0.057333580525319554,-0.05039630244851208,-0.05386494148691581,Sub2,Sub1,human,human
553,tv-talk05,627o,548o,-0.07465787965578251,0.5721102087722815,0.24872616455824947,Sub2,Sub1,human,human
553,tv-talk05,627o,609o,0.26899605183961667,-0.18972558519414337,0.03963523332273665,Sub2,Sub2,human,human
553,tv-talk05,945o,1038o,0.010068989128456883,-0.11534049124872213,-0.05263575106013262,Sub1,Ueno,human,macaq
553,tv-talk05,945o,1043o,-0.18469428660610954,-0.03562528423383209,-0.11015978541997082,Sub1,Ueno,human,macaq
553,tv-talk05,945o,1139o,0.011289953989136119,-0.07798055980817255,-0.03334530290951822,Sub1,Ojo,human,macaq
553,tv-talk05,945o,1258o,-0.130347361248319,-0.014492552272800274,-0.07241995676055964,Sub1,Ojo,human,macaq
