subj,date,trialcsv,muscimol
Julian,2022-12-08,salient_movieclip_wajd_Julian_202212_08130340.csv,False
Julian,2022-12-09,salient_movieclip_wajd_Julian_202212_09124559.csv,False
Julian,2022-12-09,salient_movieclip_wajd_Julian_202212_09123510.csv,False
Julian,2022-12-09,salient_movieclip_wajd_Julian_202212_09124505.csv,False
Julian,2022-12-12,salient_movieclip_wajd_Julian_202212_12122441.csv,False
Julian,2022-12-12,salient_movieclip_wajd_Julian_202212_12123749.csv,False
Julian,2022-12-12,salient_movieclip_wajd_Julian_202212_12123055.csv,False
Julian,2022-12-13,salient_movieclip_wajd_Julian_202212_13124515.csv,False
Julian,2022-12-13,salient_movieclip_wajd_Julian_202212_13130015.csv,False
Julian,2022-12-13,salient_movieclip_wajd_Julian_202212_13130109.csv,False
Julian,2022-12-14,salient_movieclip_wajd_Julian_202212_14123637.csv,False
Julian,2022-12-14,salient_movieclip_wajd_Julian_202212_14125220.csv,False
Julian,2022-12-14,salient_movieclip_wajd_Julian_202212_14124745.csv,False
Julian,2022-12-15,salient_movieclip_wajd_Julian_202212_15123824.csv,False
Julian,2022-12-15,salient_movieclip_wajd_Julian_202212_15123348.csv,False
Julian,2022-12-15,salient_movieclip_wajd_Julian_202212_15122226.csv,False
Julian,2022-12-19,salient_movieclip_wajd_Julian_202212_19123656.csv,False
Julian,2022-12-19,salient_movieclip_wajd_Julian_202212_19124442.csv,False
Julian,2022-12-19,salient_movieclip_wajd_Julian_202212_19125016.csv,False
Julian,2022-12-21,salient_movieclip_wajd_Julian_202212_21125510.csv,False
Julian,2022-12-21,salient_movieclip_wajd_Julian_202212_21125925.csv,False
Julian,2022-12-21,salient_movieclip_wajd_Julian_202212_21124205.csv,False
Julian,2022-12-24,salient_movieclip_wajd_Julian_202212_24125833.csv,False
Julian,2022-12-24,salient_movieclip_wajd_Julian_202212_24131554.csv,False
Julian,2022-12-24,salient_movieclip_wajd_Julian_202212_24131316.csv,False
Julian,2022-12-26,salient_movieclip_wajd_Julian_202212_26125933.csv,False
Julian,2022-12-26,salient_movieclip_wajd_Julian_202212_26124728.csv,False
Julian,2022-12-27,salient_movieclip_wajd_Julian_202212_27135243.csv,False
Julian,2022-12-27,salient_movieclip_wajd_Julian_202212_27135613.csv,False
Julian,2022-12-27,salient_movieclip_wajd_Julian_202212_27134521.csv,False
Julian,2022-12-28,salient_movieclip_wajd_Julian_202212_28130224.csv,False
Julian,2022-12-28,salient_movieclip_wajd_Julian_202212_28130303.csv,False
Julian,2022-12-28,salient_movieclip_wajd_Julian_202212_28125219.csv,False
Julian,2023-01-05,salient_movieclip_wajd_Julian_202301_05135633.csv,False
Julian,2023-01-05,salient_movieclip_wajd_Julian_202301_05140408.csv,False
Julian,2023-01-05,salient_movieclip_wajd_Julian_202301_05140128.csv,False
Julian,2023-01-07,salient_movieclip_wajd_Julian_202301_07121105.csv,False
Julian,2023-01-07,salient_movieclip_wajd_Julian_202301_07121555.csv,False
Julian,2023-01-07,salient_movieclip_wajd_Julian_202301_07121922.csv,False
Julian,2023-01-10,salient_movieclip_wajd_Julian_202301_10124738.csv,False
Julian,2023-01-10,salient_movieclip_wajd_Julian_202301_10125535.csv,False
Julian,2023-01-11,salient_movieclip_wajd_Julian_202301_11125316.csv,False
Julian,2023-01-11,salient_movieclip_wajd_Julian_202301_11130724.csv,False
Julian,2023-01-11,salient_movieclip_wajd_Julian_202301_11125956.csv,False
Julian,2023-01-12,salient_movieclip_wajd_Julian_202301_12125434.csv,False
Julian,2023-01-12,salient_movieclip_wajd_Julian_202301_12130608.csv,False
Julian,2023-01-12,salient_movieclip_wajd_Julian_202301_12130033.csv,False
Julian,2023-01-13,salient_movieclip_wajd_Julian_202301_13132736.csv,False
Julian,2023-01-13,salient_movieclip_wajd_Julian_202301_13133415.csv,False
Julian,2023-01-13,salient_movieclip_wajd_Julian_202301_13132041.csv,False
Julian,2023-01-16,salient_movieclip_wajd_Julian_202301_16121513.csv,False
Julian,2023-01-16,salient_movieclip_wajd_Julian_202301_16122547.csv,False
Julian,2023-01-16,salient_movieclip_wajd_Julian_202301_16122113.csv,False
Julian,2023-01-17,salient_movieclip_wajd_Julian_202301_17123724.csv,False
Julian,2023-01-17,salient_movieclip_wajd_Julian_202301_17123129.csv,False
Julian,2023-01-17,salient_movieclip_wajd_Julian_202301_17124411.csv,False
Julian,2023-01-19,salient_movieclip_wajd_Julian_202301_19124634.csv,False
Julian,2023-01-19,salient_movieclip_wajd_Julian_202301_19125929.csv,False
Julian,2023-01-19,salient_movieclip_wajd_Julian_202301_19125446.csv,False
Julian,2023-01-20,salient_movieclip_wajd_Julian_202301_20132129.csv,False
Julian,2023-01-20,salient_movieclip_wajd_Julian_202301_20131714.csv,False
Julian,2023-01-20,salient_movieclip_wajd_Julian_202301_20131049.csv,False
Julian,2023-01-23,salient_movieclip_wajd_Julian_202301_23123511.csv,False
Julian,2023-01-23,salient_movieclip_wajd_Julian_202301_23123926.csv,False
Julian,2023-01-23,salient_movieclip_wajd_Julian_202301_23124349.csv,False
Julian,2023-01-24,salient_movieclip_wajd_Julian_202301_24135345.csv,False
Julian,2023-01-24,salient_movieclip_wajd_Julian_202301_24134449.csv,False
Julian,2023-01-24,salient_movieclip_wajd_Julian_202301_24134919.csv,False
Julian,2023-01-26,salient_movieclip_wajd_Julian_202301_26124548.csv,False
Julian,2023-01-26,salient_movieclip_wajd_Julian_202301_26124053.csv,False
Julian,2023-01-26,salient_movieclip_wajd_Julian_202301_26125036.csv,False
Julian,2023-01-27,salient_movieclip_wajd_Julian_202301_27125049.csv,False
Julian,2023-01-27,salient_movieclip_wajd_Julian_202301_27125129.csv,False
Julian,2023-01-30,salient_movieclip_wajd_Julian_202301_30123913.csv,False
Julian,2023-01-30,salient_movieclip_wajd_Julian_202301_30124639.csv,False
Julian,2023-01-30,salient_movieclip_wajd_Julian_202301_30125345.csv,False
Julian,2023-01-31,salient_movieclip_wajd_Julian_202301_31132204.csv,False
Julian,2023-01-31,salient_movieclip_wajd_Julian_202301_31132848.csv,False
Julian,2023-01-31,salient_movieclip_wajd_Julian_202301_31133308.csv,False
Julian,2023-02-03,salient_movieclip_wajd_Julian_202302_03125857.csv,False
Julian,2023-02-03,salient_movieclip_wajd_Julian_202302_03125118.csv,False
Julian,2023-02-03,salient_movieclip_wajd_Julian_202302_03130426.csv,False
Julian,2023-02-06,salient_movieclip_wajd_Julian_202302_06130756.csv,False
Julian,2023-02-06,salient_movieclip_wajd_Julian_202302_06125648.csv,False
Julian,2023-02-07,salient_movieclip_wajd_Julian_202302_07123948.csv,False
Julian,2023-02-07,salient_movieclip_wajd_Julian_202302_07122932.csv,False
Julian,2023-02-07,salient_movieclip_wajd_Julian_202302_07124602.csv,False
Julian,2023-02-07,salient_movieclip_wajd_Julian_202302_07123054.csv,False
Julian,2023-02-08,salient_movieclip_wajd_Julian_202302_08124019.csv,False
Julian,2023-02-08,salient_movieclip_wajd_Julian_202302_08125414.csv,False
Julian,2023-02-08,salient_movieclip_wajd_Julian_202302_08124830.csv,False
